definition,annee,valeur
"Taux de chômage selon le Milieu, les diplômes",2000,13.400
"Taux de chômage selon le Milieu, les diplômes",2001,12.300
"Taux de chômage selon le Milieu, les diplômes",2002,11.300
"Taux de chômage selon le Milieu, les diplômes",2003,11.500
"Taux de chômage selon le Milieu, les diplômes",2004,10.800
"Taux de chômage selon le Milieu, les diplômes",2005,11.100
"Taux de chômage selon le Milieu, les diplômes",2006,9.700
"Taux de chômage selon le Milieu, les diplômes",2007,9.800
"Taux de chômage selon le Milieu, les diplômes",2008,9.600
"Taux de chômage selon le Milieu, les diplômes",2009,9.100
"Taux de chômage selon le Milieu, les diplômes",2010,9.100
"Taux de chômage selon le Milieu, les diplômes",2011,8.900
"Taux de chômage selon le Milieu, les diplômes",2013,9.200
"Taux de chômage selon le Milieu, les diplômes",2014,9.900
